All,CC,CW
0.6131191432396251,0.8606237816764133,0.30158730158730157
0.057392104712787176,0.06153486985444287,0.1155572998298495
0.608210620258813,0.7953216374269007,0.1587301587301587
0.05519913120266916,0.07420220783888608,0.09976035785695661
0.6305220883534136,0.8615984405458091,0.23015873015873017
0.060818295537352324,0.06102329763157321,0.1155572998298495
0.5930388219544845,0.7914230019493176,0.24603174603174602
0.06674672483168893,0.08769763648500578,0.11718113539867778
0.602409638554217,0.824561403508772,0.23068783068783066
0.05709783245008332,0.06561184597780466,0.09733436644869227
18,14,2
20,22,10
18,14,2
"BinomTestResult(k=18, n=27, alternative='two-sided', statistic=0.6666666666666666, pvalue=0.12207812070846558)","BinomTestResult(k=14, n=27, alternative='two-sided', statistic=0.5185185185185185, pvalue=1.0)","BinomTestResult(k=2, n=27, alternative='two-sided', statistic=0.07407407407407407, pvalue=5.647540092468262e-06)"
