All,CC,CW
0.4666283084004604,0.7406417112299465,0.4181818181818182
0.05195279882673107,0.11169304050377228,0.08803538815959969
0.46029919447640977,0.6096256684491979,0.293939393939394
0.04910607202152329,0.13218403309420615,0.07696015211636542
0.47295742232451105,0.695187165775401,0.3484848484848485
0.05693586594638887,0.12369019792749064,0.08745981630098068
0.4528193325661681,0.6497326203208555,0.36666666666666664
0.0632832927451264,0.14130706162271456,0.12512619892159138
0.45822784810126593,0.6689839572192513,0.3593939393939394
0.050742114688165134,0.11658857819499074,0.0752614054824134
10,2,2
12,10,9
10,2,2
"BinomTestResult(k=10, n=22, alternative='two-sided', statistic=0.45454545454545453, pvalue=0.8318119049072266)","BinomTestResult(k=2, n=22, alternative='two-sided', statistic=0.09090909090909091, pvalue=0.00012111663818359375)","BinomTestResult(k=2, n=22, alternative='two-sided', statistic=0.09090909090909091, pvalue=0.00012111663818359375)"
