choice,confidence,rt,question,type,set,SID
1,100,3.37,3,2AFC,1,31
1,86,4.532,3,2AFC,1,32
1,98,4.723,3,2AFC,1,33
1,51,4.601,3,2AFC,1,34
0,76,9.986,3,2AFC,1,35
1,79,6.899,3,2AFC,1,36
1,65,5.9,3,2AFC,1,37
1,77,29.816,3,2AFC,1,38
1,59,5.1,3,2AFC,1,39
1,100,6.492,3,2AFC,1,40
1,100,3.438,3,2AFC,1,41
0,57,5.709,3,2AFC,1,42
1,85,5.209,3,2AFC,1,43
1,78,24.293,3,2AFC,1,44
1,77,6.143,3,2AFC,1,45
1,100,10.147,3,2AFC,1,46
0,94,4.963,3,2AFC,1,47
1,77,6.13,3,2AFC,1,48
1,100,5.834,3,2AFC,1,49
0,81,5.698,3,2AFC,1,50
1,87,9.161,3,2AFC,1,51
0,91,10.571,3,2AFC,1,52
1,99,8.086,3,2AFC,1,53
1,100,4.45,3,2AFC,1,54
1,90,12.938,3,2AFC,1,55
1,80,13.758,3,2AFC,1,56
1,100,10.512,3,2AFC,1,57
1,77,3.682,3,2AFC,1,58
0,67,6.321,4,2AFC,1,1
0,57,3.632,4,2AFC,1,2
0,53,5.88,4,2AFC,1,3
1,91,4.299,4,2AFC,1,4
1,56,3.853,4,2AFC,1,5
1,55,11.146,4,2AFC,1,6
0,85,11.304,4,2AFC,1,7
1,88,7.236,4,2AFC,1,8
1,100,3.084,4,2AFC,1,9
0,98,3.871,4,2AFC,1,10
1,51,11.404,4,2AFC,1,11
0,51,4.735,4,2AFC,1,12
0,100,5.525,4,2AFC,1,13
0,100,20.082,4,2AFC,1,14
0,62,5.083,4,2AFC,1,15
0,100,9.058,4,2AFC,1,16
1,65,3.834,4,2AFC,1,17
0,58,39.853,4,2AFC,1,18
1,65,7.334,4,2AFC,1,19
0,90,38.105,4,2AFC,1,20
1,100,4.725,4,2AFC,1,21
0,100,6.405,4,2AFC,1,22
1,100,30.937,4,2AFC,1,23
0,100,21.564,4,2AFC,1,24
1,100,4.449,4,2AFC,1,25
1,100,4.699,4,2AFC,1,26
1,100,9.336,4,2AFC,1,27
0,96,6.751,4,2AFC,1,28
0,56,4.726,4,2AFC,1,29
0,73,4.957,4,2AFC,1,30
0,93,10.432,4,2AFC,1,31
0,51,4.6,4,2AFC,1,32
0,85,5.292,4,2AFC,1,33
0,83,8.8,4,2AFC,1,34
0,74,4.51,4,2AFC,1,35
1,58,4.283,4,2AFC,1,36
0,60,41.283,4,2AFC,1,37
1,96,20.446,4,2AFC,1,38
1,100,4.565,4,2AFC,1,39
0,100,3.648,4,2AFC,1,40
0,80,3.659,4,2AFC,1,41
1,100,5.509,4,2AFC,1,42
0,64,9.77,4,2AFC,1,43
1,98,5.432,4,2AFC,1,44
1,98,10.915,4,2AFC,1,45
1,51,3.061,4,2AFC,1,46
0,65,5.175,4,2AFC,1,47
0,63,4.178,4,2AFC,1,48
0,100,4.301,4,2AFC,1,49
0,100,9.076,4,2AFC,1,50
1,79,7.853,4,2AFC,1,51
0,100,13.453,4,2AFC,1,52
0,100,10.722,4,2AFC,1,53
0,84,6.601,4,2AFC,1,54
0,60,9.331,4,2AFC,1,55
0,54,8.869,4,2AFC,1,56
0,100,6.248,4,2AFC,1,57
0,100,5.398,4,2AFC,1,58
0,98,4.027,5,2AFC,1,1
1,80,4.041,5,2AFC,1,2
0,79,7,5,2AFC,1,3
0,86,5.147,5,2AFC,1,4
0,52,17.297,5,2AFC,1,5
0,67,7.959,5,2AFC,1,6
0,64,5.1,5,2AFC,1,7
1,73,8.51,5,2AFC,1,8
0,54,5.869,5,2AFC,1,9
0,59,4.856,5,2AFC,1,10
0,51,9.097,5,2AFC,1,11
1,51,11.13,5,2AFC,1,12
1,100,9.457,5,2AFC,1,13
1,73,6.102,5,2AFC,1,14
1,54,9.05,5,2AFC,1,15
0,66,6.962,5,2AFC,1,16
0,56,7.779,5,2AFC,1,17
1,85,33.711,5,2AFC,1,18
0,56,11.648,5,2AFC,1,19
0,100,10.751,5,2AFC,1,20
1,100,5.408,5,2AFC,1,21
0,60,12.289,5,2AFC,1,22
1,100,20.404,5,2AFC,1,23
1,86,13.83,5,2AFC,1,24
1,100,6.708,5,2AFC,1,25
1,100,35.005,5,2AFC,1,26
0,100,10.711,5,2AFC,1,27
1,87,5.575,5,2AFC,1,28
0,51,4.442,5,2AFC,1,29
1,100,7.827,5,2AFC,1,30
0,70,7.578,5,2AFC,1,31
1,51,7.899,5,2AFC,1,32
0,74,4.875,5,2AFC,1,33
1,100,6.901,5,2AFC,1,34
0,100,6.455,5,2AFC,1,35
0,52,6.463,5,2AFC,1,36
0,55,7.247,5,2AFC,1,37
0,73,18.93,5,2AFC,1,38
1,55,5.354,5,2AFC,1,39
1,51,5.597,5,2AFC,1,40
0,58,8.541,5,2AFC,1,41
0,57,3.678,5,2AFC,1,42
0,51,7.816,5,2AFC,1,43
1,83,26.966,5,2AFC,1,44
0,88,4.761,5,2AFC,1,45
0,55,10.859,5,2AFC,1,46
1,91,5.596,5,2AFC,1,47
0,52,5.353,5,2AFC,1,48
0,82,6.069,5,2AFC,1,49
0,100,20.903,5,2AFC,1,50
0,51,25.579,5,2AFC,1,51
0,57,7.074,5,2AFC,1,52
0,100,4.182,5,2AFC,1,53
0,72,4.801,5,2AFC,1,54
1,60,8.282,5,2AFC,1,55
0,80,5.598,5,2AFC,1,56
1,77,76.899,5,2AFC,1,57
0,68,3.824,5,2AFC,1,58
0,73,6.762,6,2AFC,1,1
0,100,4.001,6,2AFC,1,2
1,72,5.108,6,2AFC,1,3
0,58,3.819,6,2AFC,1,4
0,65,4.99,6,2AFC,1,5
0,58,9.855,6,2AFC,1,6
1,85,3.601,6,2AFC,1,7
1,95,6.7,6,2AFC,1,8
1,91,6.5,6,2AFC,1,9
1,68,4.232,6,2AFC,1,10
0,84,3.825,6,2AFC,1,11
0,100,5.411,6,2AFC,1,12
1,85,5.959,6,2AFC,1,13
1,84,74.711,6,2AFC,1,14
0,52,7.951,6,2AFC,1,15
0,73,6.523,6,2AFC,1,16
1,56,5.234,6,2AFC,1,17
0,55,5.995,6,2AFC,1,18
0,67,11.889,6,2AFC,1,19
1,75,4.897,6,2AFC,1,20
0,84,5.111,6,2AFC,1,21
0,100,17.946,6,2AFC,1,22
1,100,14.086,6,2AFC,1,23
0,98,13.784,6,2AFC,1,24
0,100,4.414,6,2AFC,1,25
1,100,11.43,6,2AFC,1,26
0,64,4.501,6,2AFC,1,27
0,63,7.723,6,2AFC,1,28
0,51,4.967,6,2AFC,1,29
1,76,8.291,6,2AFC,1,30
1,100,12.097,6,2AFC,1,31
0,100,8.334,6,2AFC,1,32
0,51,4.479,6,2AFC,1,33
1,100,6.56,6,2AFC,1,34
1,84,5.685,6,2AFC,1,35
1,52,6.258,6,2AFC,1,36
0,90,8.001,6,2AFC,1,37
1,84,108.807,6,2AFC,1,38
0,100,5.898,6,2AFC,1,39
0,51,22.795,6,2AFC,1,40
0,73,3.44,6,2AFC,1,41
0,100,5.105,6,2AFC,1,42
1,51,10.214,6,2AFC,1,43
0,84,7.131,6,2AFC,1,44
0,95,7.884,6,2AFC,1,45
1,79,3.513,6,2AFC,1,46
1,100,4.669,6,2AFC,1,47
0,51,9.2,6,2AFC,1,48
1,81,11.15,6,2AFC,1,49
0,100,9.926,6,2AFC,1,50
1,95,10.563,6,2AFC,1,51
1,85,10.099,6,2AFC,1,52
1,86,3.772,6,2AFC,1,53
1,70,6.07,6,2AFC,1,54
0,60,10.372,6,2AFC,1,55
0,74,6.84,6,2AFC,1,56
0,100,10.193,6,2AFC,1,57
0,64,3.43,6,2AFC,1,58
1,74,4.763,7,2AFC,1,1
0,100,4.061,7,2AFC,1,2
