All,CC,CW
0.4666283084004604,0.7406417112299465,0.4181818181818182
0.05195279882673107,0.11169304050377228,0.08803538815959969
0.46029919447640977,0.6096256684491979,0.293939393939394
0.04910607202152329,0.13218403309420615,0.07696015211636542
0.4781357882623707,0.7032085561497324,0.34545454545454546
0.051901795944070156,0.13562766687671013,0.103740865264386
0.44879171461449946,0.6417112299465241,0.3696969696969697
0.06055384173497294,0.12529812314288752,0.11322146480163274
0.4677790563866514,0.6967914438502674,0.3612121212121212
0.053322860476331745,0.1081126844584939,0.09024403197786361
13,4,2
15,12,8
13,4,2
"BinomTestResult(k=13, n=22, alternative='two-sided', statistic=0.5909090909090909, pvalue=0.5234670639038086)","BinomTestResult(k=4, n=22, alternative='two-sided', statistic=0.18181818181818182, pvalue=0.004343509674072266)","BinomTestResult(k=2, n=22, alternative='two-sided', statistic=0.09090909090909091, pvalue=0.00012111663818359375)"
